objectnumber;title;height;width
"GML.1562";"Zehenzaehne";59.8;43.9
"GML.0049";"Untitled";49.8;69.8
"GML.1002";"Gerichtete Panspermie";41.7;59.5
"GML.0552";"Ich von einer Fliege umkreist";65.2;47.0
"GML.1558";"Untitled";49.8;69.7
"GML.0010";"Tuet Einkehr in der Wüste";42.0;59.8
"GML.1008";"Selbstportrait in New York";45.8;30.5
"GML.5552";"Sahras Kitten";23.8;34.0
"GML.5889";"Chelsea Hotel Window";35.5;28.0
"GML.9989";"Hudson River";48.2;61.0
"GML.0058";"N.Y. Selfportrait Verschachtelt";45.7;61.0
"GML.5442";"Central Park N.Y.";61.0;48.3
"GML.8000";"Untitled";45.6;60.7
"GML.0501";"Untitled";23.9;34.0
"GML.0090";"Ohne Titel";26.8;39.0
"GML.4432";"Die Verankerung";60.9;44.5
"GML.4820";"Selbstportrait";51.1;33.6
"GML.1120";"Selbstportrait Body awareness";32.5;45.6
"GML.4111";"Body awareness";31.5;45.0
"GML.4020";"Die Malerin am Heiligengeistplatz";34.0;43.5
"GML.6066";"Junger Rainer";20.9;29.7
"GML.7999";"Rainer liegend";31.5;45.3
"GML.0045";"Portrait Rainer";42.0;53.5
"GML.8055";"Instrument für ein Martyrium";61.0;86.0
"GML.0111";"Tartüffe Rainer";46.0;31.3
"GML.3223";"Lesender / Kubistisches Portrait Rainer";57.0;45.0
"GML.0031";"Der chinesische Schmerz";63.4;71.2
"GML.3855";"Der Kopf von Cervantes";59.8;83.0
"GML.2001";"Gemeinschaftsarbeit Maria Lassnig - Arnulf Rainer";51.0;76.0
"GML.9897";"Portrait Rainer";31.5;43.5
"GML.0301";"Portrait Arnulf Rainer";33;45
"GLI.2100";"Verlorene Schlacht";33.5;49.5
"GML.2022";"Der Elefant";63;45.3
"GML.0038";"Garten der Leidenschaft";85.5;59.5
"GML.3319";"Amorph";31.6;43.9
"GML.1222";"Amorphe Automatik";31.2;44.0
